"Source Name",Path,URL,"Date Accessed",Domain,Username,"Program Name","Data Source"
History,"C:\Users\ken\Pictures\4fdd30c6a4e83370022b080095f09fe7.webp","https://imgs.search.brave.com/429GljUEswFEg33cMNa47YfetqLR8iTlThZLYyqycf8/rs:fit:500:0:0/g:ce/aHR0cHM6Ly9pLnBp/bmltZy5jb20vb3Jp/Z2luYWxzLzRmL2Rk/LzMwLzRmZGQzMGM2/YTRlODMzNzAwMjJi/MDgwMDk1ZjA5ZmU3/LmpwZw","2024-04-22 23:20:39 CST",brave.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Pictures\anime-dbt18qjb7b1cstr1.webp","https://imgs.search.brave.com/PqTSLlgyybaUGNy9TJEwIoc6IUZCrK_k1qbPiZlIMJM/rs:fit:500:0:0/g:ce/aHR0cHM6Ly93YWxs/cGFwZXJzLmNvbS9p/bWFnZXMvZmVhdHVy/ZWQvYW5pbWUtZGJ0/MThxamI3YjFjc3Ry/MS5qcGc","2024-04-22 23:20:53 CST",brave.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Pictures\3992.webp","https://imgs.search.brave.com/EZ81hoFcVxRmgshOiIP4RcTqiaYtwYqDk_Doyt-29Dc/rs:fit:500:0:0/g:ce/aHR0cHM6Ly93d3cz/LmFuaW1lZmx2Lm5l/dC91cGxvYWRzL2Fu/aW1lcy9jb3ZlcnMv/Mzk5Mi5qcGc","2024-04-22 23:21:02 CST",brave.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Pictures\6ecba23dcdbeed00a6ba3db92adef83f.webp","https://imgs.search.brave.com/HRfSNx8uwv1tnOaCKURpc3KDrqsxfRabgrq6vwUqgEM/rs:fit:500:0:0/g:ce/aHR0cHM6Ly9pLnBp/bmltZy5jb20vb3Jp/Z2luYWxzLzZlL2Ni/L2EyLzZlY2JhMjNk/Y2RiZWVkMDBhNmJh/M2RiOTJhZGVmODNm/LmpwZw","2024-04-22 23:21:10 CST",brave.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Pictures\1345470_Latvian_ShowKeyart_c6786c02-f2e3-ea11-82a8-dd291e252010.webp","https://imgs.search.brave.com/pmug9sUKrDljUPxHWLtEyk-26wRUUcEhmHmXWqvIcf8/rs:fit:500:0:0/g:ce/aHR0cHM6Ly9kZXJm/OXYxeGh3d3gxLmNs/b3VkZnJvbnQubmV0/L2ltYWdlL3VwbG9h/ZC9jX2ZpbGwscV84/MCx3XzI2NSxoXzM5/Ny9vdGgvRnVuaW1h/dGlvblN0b3JlRnJv/bnQvMTM0NTQ3MC9M/YXR2aWFuLzEzNDU0/NzBfTGF0dmlhbl9T/aG93S2V5YXJ0X2M2/Nzg2YzAyLWYyZTMt/ZWExMS04MmE4LWRk/MjkxZTI1MjAxMC5q/cGc","2024-04-22 23:21:26 CST",brave.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Downloads\utweb_installer.exe","blob:https://www.utorrent.com/0e4c0c26-3b01-4b98-9b75-8d3e53529bea","2024-04-22 23:21:40 CST",utorrent.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Downloads\Reader_es_install.exe","blob:https://get.adobe.com/b422dcce-8181-496d-93d1-7e03adfe15d6","2024-04-22 23:23:00 CST",adobe.com,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,,"https://www.tlajomulco.gob.mx/sites/default/files/transparencia/nominas/8Vfremuneracion1erQuincena-Abril2022.xlsx","2024-04-23 08:35:06 CST",tlajomulco.gob.mx,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Documents\8Vfremuneracion1erQuincena-Abril2022.xlsx","https://www.tlajomulco.gob.mx/sites/default/files/transparencia/nominas/8Vfremuneracion1erQuincena-Abril2022.xlsx","2024-04-23 08:35:14 CST",tlajomulco.gob.mx,Default,Brave,"001-003-LAptop-Pavana T3.E01"
History,"C:\Users\ken\Documents\Anexo 11 Nomina.xlsx","https://inversionpublica.edomex.gob.mx/sites/inversionpublica.edomex.gob.mx/files/files/Anexo%2011%20Nomina.xlsx","2024-04-23 08:35:29 CST",edomex.gob.mx,Default,Brave,"001-003-LAptop-Pavana T3.E01"
